6000 3
161 52 147
175 179 88
35 78 108
10 44 145
128 119 16
124 28 55
47 103 41
102 154 238
5 209 206
214 207 188
73 107 28
25 237 166
255 151 60
91 219 222
67 251 96
106 30 43
61 99 63
59 229 53
196 184 202
159 28 127
151 138 193
119 33 17
172 220 196
100 151 180
109 126 148
217 153 238
122 9 58
98 66 82
45 187 85
138 134 3
70 17 153
242 251 63
143 209 227
244 204 164
86 191 67
210 59 56
245 116 133
213 254 241
137 247 161
235 203 4
122 62 15
71 153 242
97 74 28
86 243 104
79 17 36
137 94 37
102 89 239
33 101 246
203 2 26
188 248 103
128 33 191
162 28 65
124 157 190
22 41 138
162 17 44
92 233 14
57 54 216
185 81 132
15 31 91
191 107 169
131 97 199
89 5 243
23 209 213
116 115 1
246 19 207
206 53 181
79 168 122
211 52 221
69 88 244
39 94 174
248 114 190
104 88 89
122 252 18
122 89 218
216 114 109
163 148 52
121 225 47
22 193 135
80 132 207
161 0 73
139 176 115
10 164 232
34 27 164
102 246 67
139 49 37
199 13 153
48 39 219
210 221 218
183 73 224
152 138 157
238 81 43
36 240 240
74 194 160
50 155 25
103 135 162
132 101 177
120 216 145
178 52 246
162 24 94
113 24 103
138 8 37
170 168 134
99 215 37
239 82 125
220 24 188
23 31 136
102 161 15
7 195 235
100 173 30
171 225 7
41 206 174
175 183 147
87 65 134
142 65 54
40 237 99
8 188 252
130 193 108
60 222 137
56 54 160
60 87 111
48 51 186
181 24 159
43 224 37
145 169 204
192 32 107
205 145 131
91 51 125
229 89 135
75 185 135
84 43 36
133 172 172
7 187 130
132 75 211
62 226 234
43 20 73
37 7 106
221 128 214
0 29 97
241 226 229
51 39 106
74 191 19
48 67 76
93 147 193
58 182 54
91 106 178
246 155 201
211 83 138
31 110 139
111 240 175
102 56 52
166 51 213
168 167 110
4 222 237
88 222 67
11 158 42
201 98 137
151 236 253
12 91 138
174 192 145
99 255 143
177 254 36
241 110 194
201 95 83
24 179 185
208 122 140
3 45 13
3 49 80
110 72 8
119 94 182
26 244 62
57 73 171
210 240 156
236 120 114
3 6 60
251 108 1
147 209 60
45 14 172
29 211 242
177 18 32
248 184 218
165 162 222
59 158 246
86 56 87
186 241 121
56 122 188
56 208 158
58 40 226
45 87 137
82 116 17
87 74 177
29 159 99
249 67 210
47 168 128
126 145 89
232 254 104
237 231 181
83 247 230
28 241 235
96 31 126
196 79 97
90 20 249
157 5 201
184 109 173
110 134 211
163 163 233
95 33 42
143 247 130
187 143 212
251 23 155
57 141 178
166 112 68
224 113 127
241 142 170
51 144 131
22 74 81
231 66 156
9 76 145
82 240 227
33 249 150
73 139 47
114 86 253
36 139 36
57 44 5
29 67 54
33 28 149
139 222 189
140 197 123
147 57 188
124 78 87
137 12 119
102 82 192
217 77 40
15 203 247
81 224 240
106 98 247
121 43 250
128 48 36
149 155 207
118 109 140
5 213 61
151 20 171
216 7 70
64 243 162
171 6 213
55 52 70
45 43 149
1 241 89
163 97 35
75 129 192
112 155 240
26 128 25
159 125 20
182 218 193
95 197 66
83 94 2
210 76 186
40 31 181
6 231 27
140 19 73
157 77 235
120 158 15
9 49 246
105 157 184
178 231 10
136 34 85
14 233 222
82 12 103
252 152 245
100 249 43
235 197 178
254 238 170
152 81 135
26 21 200
53 68 243
72 184 107
87 98 171
233 150 187
4 111 83
5 168 190
226 145 251
111 93 202
16 9 124
120 129 249
127 234 13
168 55 13
234 69 210
75 88 29
118 159 35
92 174 202
50 151 175
204 194 82
104 149 199
161 182 110
16 241 2
86 163 225
116 164 13
11 159 235
199 89 27
97 173 110
228 218 158
23 219 60
55 100 208
217 71 222
57 182 67
0 126 83
205 198 246
41 197 195
90 153 1
17 75 126
147 254 240
66 94 153
154 156 94
103 206 157
116 28 79
52 34 90
226 165 208
94 155 58
12 254 217
105 41 40
73 25 167
93 155 45
57 211 232
105 22 255
67 245 36
124 91 14
131 183 47
166 153 216
252 217 171
173 64 130
160 80 70
127 112 191
48 239 187
113 194 84
167 196 48
80 8 190
195 42 48
13 146 35
133 114 160
113 63 61
152 219 33
69 24 242
250 100 90
133 41 64
9 15 250
167 177 213
37 237 66
214 130 101
242 83 12
7 212 196
27 168 47
136 212 64
141 45 142
202 24 247
31 177 4
11 93 51
216 83 17
97 159 131
21 186 157
254 231 149
196 9 190
149 233 195
123 63 206
7 177 72
168 236 22
62 20 152
1 110 240
61 222 65
228 20 86
107 47 8
123 35 142
234 67 31
165 221 84
148 100 195
240 187 202
167 210 194
118 219 9
29 225 129
151 103 226
93 248 70
139 227 156
3 193 58
145 203 168
41 148 240
199 13 101
59 171 224
224 162 11
64 87 203
130 149 159
52 64 140
35 203 58
110 116 18
112 17 182
203 224 42
248 147 232
147 105 59
155 60 141
128 216 160
213 235 35
140 80 31
245 222 105
186 78 58
193 131 151
139 125 171
193 179 141
75 233 75
51 28 121
81 32 225
248 21 160
168 12 65
93 201 32
94 37 192
146 235 5
214 220 25
74 245 222
93 161 93
193 2 119
211 5 176
216 207 13
221 170 225
185 115 13
84 17 116
60 188 68
198 115 214
252 177 185
206 179 224
59 152 124
252 105 198
238 250 237
203 114 226
244 191 161
86 3 246
139 148 46
131 139 62
165 145 36
215 50 142
237 92 76
16 51 171
25 45 67
7 20 67
151 201 130
213 164 222
85 164 66
78 62 115
107 38 61
234 215 43
20 102 127
222 70 136
195 238 206
96 224 181
199 241 122
134 30 7
151 172 115
145 6 46
14 235 202
136 86 211
26 106 87
236 165 202
247 182 92
176 14 112
98 160 238
236 177 206
95 13 22
89 212 28
33 162 119
125 227 102
7 201 235
62 140 20
104 223 147
115 188 35
195 183 202
29 50 71
186 194 205
175 147 35
141 126 204
85 223 160
83 175 195
87 166 115
18 155 139
170 62 138
211 244 253
77 194 223
230 143 81
242 32 73
118 154 8
222 128 121
124 138 36
190 87 157
255 47 227
26 225 64
130 89 62
68 125 129
23 207 135
69 173 193
42 119 239
241 48 101
228 40 159
36 250 135
101 0 213
96 33 29
127 150 26
216 78 167
114 92 121
247 102 162
198 192 235
136 119 239
124 237 31
111 226 21
24 238 49
89 212 26
43 208 155
50 74 2
155 80 22
20 231 149
253 222 108
216 228 185
86 250 171
75 30 7
100 122 2
155 55 203
115 177 169
193 249 45
44 204 96
88 205 6
213 35 1
97 202 39
62 184 96
75 177 110
135 42 220
37 244 3
214 50 64
32 233 78
186 251 61
227 231 20
30 123 71
76 250 155
52 239 157
186 207 24
138 100 250
73 224 176
151 111 43
75 53 154
13 232 255
7 138 142
76 65 233
104 43 189
185 90 223
48 238 148
82 217 126
125 37 207
13 34 127
114 157 109
207 20 125
144 163 153
96 233 141
255 7 220
234 197 28
38 173 245
132 73 215
218 144 101
227 219 30
148 121 63
248 221 167
81 34 188
108 167 130
17 210 101
214 4 222
8 190 56
9 112 110
248 2 48
156 112 145
52 151 131
24 85 239
191 2 185
24 43 182
39 3 0
92 51 172
245 185 72
93 56 15
197 36 178
45 119 47
38 51 138
178 180 234
209 232 253
30 247 147
14 179 164
56 134 74
113 216 110
103 180 32
120 12 213
85 178 111
230 8 39
144 205 43
216 20 199
100 227 151
89 104 29
205 42 159
61 129 159
62 54 22
136 167 131
144 197 234
75 165 112
239 76 40
225 8 122
240 63 138
73 138 172
217 57 242
40 34 142
152 139 144
80 63 178
164 80 52
187 14 60
29 225 116
118 36 68
169 149 213
134 48 16
139 246 143
120 125 34
130 90 47
150 254 130
79 191 228
192 72 208
58 73 250
173 192 175
171 172 237
204 180 168
173 34 81
125 21 135
197 159 22
225 239 207
143 147 134
183 52 133
159 49 131
244 112 38
109 37 110
84 238 180
90 21 177
215 20 23
11 212 254
255 88 82
171 92 158
128 52 68
184 167 218
241 117 229
214 168 86
5 23 75
182 170 207
229 186 105
231 1 119
158 174 203
225 127 42
53 216 62
78 101 59
100 120 38
50 78 125
231 152 21
49 71 159
126 151 16
174 119 208
125 207 87
91 120 61
201 215 254
227 122 239
9 73 204
238 94 156
160 206 39
225 219 23
195 219 252
145 130 70
244 212 186
42 229 132
240 3 194
15 23 235
172 2 70
37 235 217
96 214 167
103 200 22
188 234 142
29 234 27
58 31 216
150 235 224
30 175 244
77 122 93
75 171 145
42 43 95
47 6 157
127 86 76
114 31 116
130 162 217
176 185 59
252 231 40
52 240 62
212 149 20
206 188 102
141 113 61
184 166 153
44 241 251
121 190 184
114 51 37
120 143 15
83 40 146
232 81 125
194 21 58
43 177 31
124 254 156
15 233 180
59 82 91
53 73 164
141 103 91
150 60 23
45 4 202
0 70 82
152 140 163
95 16 27
210 151 84
77 100 37
246 30 83
221 250 87
237 17 214
127 150 112
65 254 147
213 230 152
90 191 178
157 46 218
242 96 216
201 121 15
137 36 20
215 36 26
49 18 241
232 253 76
119 7 136
10 80 143
142 158 5
94 128 216
17 230 70
36 91 50
168 84 79
248 120 138
55 169 246
141 124 7
212 122 170
92 37 219
8 65 245
41 90 233
213 222 111
93 69 114
236 19 182
140 63 59
187 132 147
213 73 182
68 87 186
172 230 179
132 88 42
191 255 166
105 78 149
51 80 247
202 197 244
159 79 58
149 20 237
242 200 185
246 133 252
20 245 14
111 217 173
13 118 192
96 23 28
243 252 113
44 164 91
161 171 126
238 130 90
144 31 25
160 115 178
223 96 200
36 143 78
121 171 164
200 151 1
86 213 14
79 223 149
162 47 173
111 131 110
92 47 199
39 142 233
198 207 38
206 225 6
38 225 0
68 185 169
134 82 191
59 166 224
101 201 19
237 56 144
246 148 157
255 35 14
221 180 187
68 167 110
46 57 50
200 223 140
148 114 112
213 154 51
92 169 215
103 35 198
27 33 198
230 140 159
245 204 185
41 129 241
93 21 100
79 35 3
208 158 51
208 29 79
173 194 49
214 212 90
57 233 211
67 139 252
147 199 169
214 107 38
88 206 179
240 38 190
243 166 139
167 4 197
105 183 65
228 143 143
184 94 255
123 28 99
132 132 155
233 65 125
70 253 225
242 224 81
134 86 3
11 22 51
173 184 193
156 196 51
33 71 112
206 228 73
135 23 145
230 153 160
121 47 39
211 167 47
54 171 139
38 235 165
255 135 185
121 74 97
15 46 227
186 132 215
34 189 40
185 28 52
42 222 83
150 88 158
218 100 196
15 20 123
252 105 253
160 5 107
251 225 229
3 27 64
52 44 203
182 237 166
30 203 12
187 241 208
34 86 132
87 140 77
235 251 108
194 5 200
253 211 97
42 173 185
235 89 38
23 135 122
50 190 143
249 77 223
208 56 107
192 125 95
9 231 131
252 182 20
184 132 41
129 171 163
181 122 82
241 63 243
122 210 151
198 180 234
22 47 125
218 8 123
50 137 5
122 118 224
219 13 155
68 106 142
174 1 12
20 31 118
95 86 180
139 101 9
70 139 232
179 140 166
188 16 37
216 238 136
232 122 133
129 199 214
195 88 21
221 139 61
229 127 108
159 120 105
120 251 177
45 187 180
138 217 64
28 77 229
106 25 101
227 20 135
204 142 215
119 84 35
253 33 53
106 28 106
186 135 210
157 103 222
226 128 252
203 40 213
53 38 83
198 173 0
206 183 215
255 109 231
203 139 143
37 52 91
18 91 211
170 197 219
180 41 243
50 73 35
7 3 127
31 4 163
26 40 28
105 197 60
183 202 201
161 0 222
175 254 184
237 8 119
46 151 159
99 156 136
171 80 226
79 44 161
94 50 248
77 119 228
167 143 173
207 111 224
162 13 180
176 111 160
4 21 153
184 167 92
161 6 199
110 93 217
106 219 60
231 92 177
97 184 133
101 129 24
91 154 34
189 195 27
76 17 109
121 106 108
52 36 235
233 170 89
165 17 91
124 197 242
194 93 98
173 36 96
89 139 224
234 47 86
174 248 219
22 208 16
195 39 66
83 104 108
73 24 212
168 115 133
37 170 129
49 167 86
112 103 16
84 218 159
171 57 139
200 158 179
48 62 34
94 138 42
212 204 157
187 103 161
73 104 57
182 128 118
142 222 212
217 58 196
124 135 199
69 39 10
0 0 86
138 199 128
174 49 21
178 2 235
139 201 185
146 128 250
1 210 157
85 164 106
182 33 13
157 145 5
252 125 71
97 109 202
231 239 91
77 32 86
200 129 205
63 17 101
230 213 79
106 38 171
169 175 160
21 1 173
224 196 103
71 53 143
218 111 245
156 71 158
150 242 159
193 205 147
246 247 180
93 91 14
215 127 62
108 5 50
121 96 166
97 230 74
86 233 144
246 184 253
240 126 140
29 109 207
30 163 219
18 164 60
15 58 49
56 60 163
106 102 27
28 25 51
224 251 28
84 179 215
1 122 248
153 50 251
210 114 118
119 85 21
198 209 77
43 14 61
196 115 168
133 112 70
177 196 217
132 15 209
189 24 243
53 117 113
5 121 36
184 170 248
17 199 221
143 230 43
59 5 209
237 132 34
199 46 58
255 229 151
1 248 83
157 76 167
137 129 184
173 138 134
97 96 255
26 50 244
211 120 107
235 215 7
245 59 113
94 21 162
49 195 106
15 112 144
114 46 205
113 143 169
145 198 136
237 111 230
194 142 224
242 107 163
97 204 76
159 166 245
194 133 248
13 254 199
8 124 254
120 157 42
188 170 17
62 255 191
104 254 173
102 194 189
37 12 35
53 135 246
3 176 219
204 95 110
228 174 3
227 35 250
72 200 29
163 234 177
110 168 97
73 8 87
211 229 65
240 166 148
122 37 114
91 89 174
221 169 208
158 207 162
160 188 26
22 81 186
128 176 212
151 219 115
249 155 147
20 237 181
40 127 74
40 34 33
203 145 206
86 80 235
30 5 141
23 13 111
237 166 254
187 15 212
144 196 98
230 77 198
153 83 130
189 219 168
60 141 69
247 172 199
144 37 45
15 9 79
45 204 83
71 180 95
41 41 132
134 55 201
200 148 242
113 118 132
198 222 126
172 107 121
25 81 245
98 137 51
16 100 164
82 25 229
93 198 168
215 110 132
65 53 135
80 203 83
61 119 152
117 242 55
81 142 236
92 14 108
117 42 19
188 213 25
195 122 162
47 50 27
173 42 229
23 249 190
198 51 61
110 43 223
131 171 130
146 209 244
178 166 209
147 81 134
133 194 130
115 50 85
192 135 62
145 154 123
40 56 153
143 51 245
103 247 84
225 13 196
21 86 137
26 100 36
19 38 240
130 222 230
216 192 106
40 188 87
200 34 213
217 144 41
23 174 205
89 173 67
96 9 88
254 34 232
87 28 21
172 51 197
109 43 36
169 139 11
226 180 140
61 58 47
186 162 44
8 118 160
34 33 193
247 216 22
145 22 210
251 192 11
217 55 244
109 160 81
183 194 162
130 53 155
109 76 69
49 80 144
220 188 35
139 195 94
131 22 247
106 148 118
14 144 126
145 127 99
93 40 223
79 70 48
108 169 209
237 125 43
122 156 182
202 27 123
58 181 85
58 113 2
36 238 85
6 207 197
214 17 163
222 33 63
21 159 74
102 187 224
123 162 171
212 112 199
174 164 53
227 126 52
137 248 214
119 15 193
93 53 208
187 116 243
190 150 30
116 206 249
20 81 65
57 94 132
160 201 103
96 136 120
200 162 186
26 231 90
196 119 191
180 0 45
246 108 113
23 129 216
236 102 109
112 222 234
236 160 191
106 180 102
178 200 74
95 87 18
39 160 43
1 198 116
60 245 210
96 47 109
68 182 168
24 68 32
135 129 231
155 22 19
190 148 177
119 19 206
209 184 220
72 34 129
105 108 227
33 69 46
61 154 231
174 53 120
86 148 136
224 196 202
57 232 177
224 137 8
82 222 239
186 227 146
195 104 118
181 136 160
49 38 65
126 231 52
68 181 197
137 52 111
30 105 198
95 78 239
10 223 69
198 143 141
95 161 244
180 90 188
155 193 226
252 132 98
204 131 192
82 130 235
78 243 42
170 152 155
152 224 214
91 14 46
96 12 191
228 231 196
28 22 205
33 88 65
70 39 202
71 140 107
74 131 129
47 9 186
52 75 179
172 82 157
109 115 163
217 156 146
144 10 76
25 203 112
224 220 180
64 237 227
236 82 156
70 24 210
79 204 160
164 67 30
18 89 17
31 174 6
152 4 121
93 28 186
176 9 17
32 54 41
151 204 11
221 160 90
105 23 58
106 175 236
29 198 231
96 49 121
15 120 77
137 135 230
73 204 8
56 190 176
133 188 55
17 116 137
47 45 215
172 194 204
112 122 100
23 60 113
68 78 214
171 29 68
140 189 5
61 206 159
164 4 33
21 46 146
212 187 30
10 81 201
20 188 162
192 47 147
90 55 14
164 50 76
18 198 62
164 11 116
26 182 203
133 77 128
226 37 113
114 17 107
119 50 212
210 187 135
222 240 225
171 182 98
211 192 30
34 18 150
73 95 26
40 74 41
165 247 94
205 247 126
164 203 14
248 109 206
32 54 175
38 167 234
179 247 139
26 232 194
31 63 216
188 248 60
80 127 184
93 81 53
167 215 34
210 179 219
76 178 197
42 2 233
5 127 233
104 212 53
45 27 198
159 199 103
81 198 219
216 149 221
156 127 104
17 189 68
24 116 242
93 208 134
211 76 158
191 209 219
216 19 78
214 212 185
72 184 198
254 126 205
125 233 197
83 0 187
162 107 180
145 184 98
42 84 246
132 164 19
199 178 184
176 42 141
57 60 187
186 55 103
120 82 101
166 92 201
208 78 4
39 70 166
232 77 191
4 253 148
62 47 221
216 143 94
186 6 70
236 87 164
69 68 169
216 54 101
66 159 10
233 86 113
37 73 52
117 210 175
37 73 93
240 200 7
232 152 184
37 18 89
140 53 172
205 127 94
153 48 229
111 162 254
175 165 216
69 127 185
158 136 143
71 235 198
100 239 12
169 212 40
229 81 227
22 138 49
11 113 181
18 154 18
82 113 24
42 67 99
168 52 55
72 40 78
84 9 138
108 244 106
174 181 91
197 37 13
201 95 10
62 4 232
33 50 61
74 8 236
212 158 102
210 175 120
21 51 16
61 50 8
71 178 5
60 121 155
112 15 143
171 37 98
21 211 39
77 41 158
205 232 235
244 112 72
108 108 105
92 222 30
135 254 218
88 110 133
210 254 193
55 226 173
141 65 1
178 98 193
166 112 234
234 181 210
128 32 175
177 70 111
92 149 249
214 151 70
64 104 142
129 190 111
243 172 41
97 210 193
98 161 62
130 112 218
41 18 239
237 201 93
247 174 14
63 218 82
10 24 114
205 204 190
176 117 27
140 177 178
238 38 130
78 69 86
113 95 119
70 1 207
107 67 109
83 160 57
44 184 250
108 128 132
151 9 209
167 145 86
177 24 31
44 204 138
91 232 16
191 237 33
154 173 101
200 56 255
211 66 147
116 166 112
213 221 49
59 68 104
60 195 36
145 78 241
137 42 147
132 0 100
244 150 252
188 254 250
194 16 50
204 164 139
200 195 218
70 200 117
76 127 27
120 28 113
54 33 100
222 227 203
161 201 105
43 39 9
111 74 19
30 42 51
125 196 110
227 130 190
169 155 77
206 98 188
163 187 59
36 69 70
32 103 255
57 207 102
247 148 184
29 115 206
12 3 137
123 37 235
113 210 31
119 251 252
134 85 17
173 74 141
191 120 84
231 3 43
82 255 243
229 140 193
235 152 35
90 18 237
71 99 15
234 202 3
169 11 41
70 52 137
7 74 188
210 193 42
149 144 169
43 107 153
71 85 8
112 218 9
240 119 19
46 169 142
161 182 113
43 147 6
236 37 207
2 218 56
246 1 68
40 158 213
77 2 75
103 35 35
73 248 193
95 32 162
145 29 186
43 187 188
37 220 20
152 29 113
100 20 119
47 101 101
79 38 184
242 184 194
173 226 46
83 27 69
20 160 21
210 233 62
110 223 176
85 15 64
182 103 45
60 82 242
202 252 217
42 217 172
147 220 106
231 6 37
91 171 117
47 225 24
127 37 218
0 8 33
227 252 137
145 12 25
192 122 50
43 196 83
101 6 207
166 251 162
23 159 21
249 176 63
30 123 108
9 150 160
145 117 3
192 101 126
119 92 203
117 47 207
192 182 77
196 11 150
158 172 18
152 252 63
28 41 229
217 87 163
173 254 216
0 194 129
194 96 138
3 137 18
49 49 197
105 153 56
200 195 200
202 233 106
191 183 195
176 75 13
121 105 124
53 70 225
179 169 59
130 248 252
24 112 165
1 237 35
139 244 138
125 160 231
87 130 94
64 245 114
235 245 28
193 74 68
84 178 196
81 189 107
125 9 50
11 237 83
241 234 61
19 7 18
130 239 204
225 122 182
239 43 148
28 65 218
96 236 111
231 116 51
21 40 250
62 44 226
208 237 166
96 190 24
28 205 167
127 118 240
156 95 3
2 239 37
86 138 6
189 46 148
132 243 163
199 120 76
183 135 254
30 110 168
170 232 57
202 84 41
83 31 217
156 175 85
27 72 241
219 210 169
118 169 200
200 120 4
133 214 201
21 101 51
229 68 168
145 24 95
106 70 4
206 131 214
247 101 202
1 212 187
236 12 221
240 2 160
165 60 255
170 115 17
195 118 36
106 188 100
63 4 97
42 174 238
40 65 48
69 23 254
28 11 238
41 209 8
92 34 129
117 129 154
165 111 196
136 205 128
66 162 6
20 84 201
117 253 202
103 238 182
209 203 222
77 217 34
158 58 213
13 36 16
8 56 168
75 65 163
13 194 212
42 115 12
51 247 152
250 220 146
243 220 144
22 209 185
176 101 47
135 40 188
15 249 112
228 244 51
40 106 32
95 211 32
113 86 108
10 40 71
98 160 180
208 244 161
68 99 145
93 125 101
150 211 187
155 155 203
221 252 173
56 114 190
127 146 254
65 41 179
88 206 222
219 15 205
98 151 161
58 177 22
106 201 3
167 75 20
205 17 207
227 56 252
83 235 168
162 152 218
158 163 255
134 211 69
200 28 226
90 240 197
158 171 94
175 158 119
232 64 115
205 143 147
227 215 218
182 71 218
68 2 145
99 183 82
105 149 160
232 119 180
220 52 153
30 126 103
149 233 105
20 21 143
27 236 183
234 2 69
11 202 35
144 102 41
127 222 38
164 161 244
155 168 149
213 1 39
222 28 190
204 168 110
137 239 108
64 172 127
140 147 194
220 49 15
135 215 99
202 7 76
57 92 111
153 38 45
90 189 52
70 138 94
164 224 67
105 197 160
131 165 117
85 146 140
244 38 22
141 237 76
181 109 38
115 70 132
125 230 167
166 186 7
87 132 149
18 106 158
188 167 148
207 216 217
52 131 34
165 199 119
186 55 89
192 99 235
134 113 92
157 91 174
180 179 204
120 45 206
112 127 60
162 3 6
157 181 243
5 254 79
120 128 255
71 77 93
104 151 143
54 7 107
36 176 169
107 39 98
127 242 132
33 226 174
42 4 200
200 212 81
136 77 146
236 24 102
55 172 149
197 191 170
235 115 17
158 253 247
111 2 34
117 182 214
156 188 91
41 116 35
21 225 0
22 5 120
216 42 28
106 21 126
236 25 82
72 164 71
223 50 187
197 109 47
40 234 217
230 53 40
137 102 112
52 70 84
122 243 33
240 238 34
190 211 215
214 213 140
160 177 101
160 105 218
128 127 239
113 224 96
222 94 124
160 147 4
224 65 181
131 74 138
157 142 197
153 170 66
74 44 24
250 121 144
22 202 19
62 117 56
214 129 117
186 39 159
164 226 148
16 119 61
114 234 64
221 231 156
234 207 32
245 121 68
119 223 154
36 65 211
230 151 86
125 76 72
253 141 24
90 204 66
198 226 181
169 127 82
132 231 53
124 186 247
15 17 95
169 252 189
227 157 194
214 244 210
121 232 47
78 132 25
220 137 70
14 211 177
46 188 90
115 204 92
79 124 3
59 177 243
235 138 34
123 137 250
20 172 227
243 193 38
174 106 33
135 150 78
73 131 161
220 154 9
58 248 65
111 127 231
91 45 175
87 154 111
14 22 140
218 58 156
150 35 233
222 217 139
225 29 24
46 173 142
188 65 228
101 62 162
137 212 122
248 249 239
221 224 74
68 181 25
157 128 242
97 253 68
156 195 162
160 138 138
205 5 151
174 252 26
139 72 175
221 184 80
193 132 195
143 150 182
43 41 219
48 118 68
155 115 147
215 58 198
39 219 151
121 109 182
37 218 239
145 117 116
238 235 19
35 134 116
140 51 198
141 210 123
105 208 61
197 56 207
43 171 136
76 67 43
72 207 240
89 8 248
139 91 73
14 246 159
22 58 47
193 114 97
127 76 147
68 246 168
13 231 251
231 114 111
213 200 63
214 49 29
221 211 214
38 220 212
15 248 161
189 179 146
135 163 39
130 197 197
113 249 227
24 81 125
27 195 3
35 218 64
76 127 202
125 24 19
190 147 203
193 249 247
199 7 163
254 42 204
118 102 124
100 239 45
228 252 202
134 3 14
1 254 207
14 6 180
244 172 185
199 208 95
146 208 192
11 130 67
244 111 61
65 159 162
241 161 96
144 9 194
57 8 207
154 193 4
173 24 17
2 67 64
124 199 87
194 73 120
85 55 72
131 32 29
141 220 49
189 162 149
55 48 15
205 98 93
132 246 202
90 179 121
101 106 214
38 210 76
53 21 244
71 246 70
116 2 155
128 152 128
117 38 180
154 24 92
143 76 229
161 127 84
11 15 79
104 183 13
182 35 194
182 22 200
192 180 150
84 250 228
55 41 100
137 212 164
131 223 191
136 46 67
158 188 212
238 46 207
23 157 220
196 207 60
238 59 78
53 192 28
174 165 186
125 205 25
78 54 217
83 105 77
6 12 9
27 143 71
77 93 11
7 192 18
218 116 90
116 53 240
200 65 89
23 235 218
240 4 116
146 203 154
220 166 80
18 252 220
211 204 154
44 187 226
244 81 249
57 28 84
40 145 127
132 113 203
113 50 80
213 198 234
154 231 152
57 173 118
27 53 55
156 68 97
101 59 20
41 148 122
77 100 113
149 20 79
115 30 94
36 246 75
51 95 48
39 109 134
84 61 213
159 20 46
182 233 190
119 11 86
40 49 239
130 227 195
178 194 119
84 14 213
157 182 83
214 31 129
236 227 20
215 71 82
41 100 193
120 218 53
27 215 25
129 179 168
215 115 182
199 55 121
250 123 108
130 38 8
92 5 190
124 125 30
91 150 223
168 175 169
210 166 198
95 112 61
18 95 51
101 118 87
253 150 124
28 82 184
77 12 128
129 170 140
59 232 123
227 208 42
6 125 98
214 243 205
55 64 58
77 128 192
98 176 34
35 46 206
80 214 108
16 0 105
138 68 133
126 111 91
140 228 210
223 94 35
56 99 67
59 171 128
45 70 129
227 58 136
175 250 179
41 23 192
226 218 151
145 231 173
123 91 215
122 212 219
219 106 237
169 113 249
103 134 172
48 138 69
160 32 95
184 226 146
72 169 47
83 124 202
101 66 144
75 42 178
58 44 133
135 91 37
206 228 95
55 16 243
166 183 116
127 79 199
45 110 234
120 69 126
